FTR,B365H,B365D,B365A,Column1,Column2,Column3,p1,p2,h
A,8,5.5,1.33,0,0,1,-100,33,-100
H,1.18,7,15,1,0,0,18,-100,18
D,2.7,3.4,2.55,0,1,0,-100,-100,-100
H,1.33,5.5,9,1,0,0,33,-100,33
A,2.2,3.4,3.3,0,0,1,-100,230,-100
A,3,3.3,2.38,0,0,1,-100,138,-100
H,1.75,3.75,4.6,1,0,0,75,-100,75
D,2.75,3.4,2.45,0,1,0,-100,-100,-100
D,2.9,3.4,2.38,0,1,0,-100,-100,-100
H,1.33,5.5,9,1,0,0,33,-100,33
H,1.95,3.4,4,1,0,0,95,-100,95
A,2.7,3.3,2.63,0,0,1,-100,163,-100
H,1.2,7,13,1,0,0,20,-100,20
A,4,3.8,1.85,0,0,1,-100,85,-100
H,2.8,3.6,2.38,1,0,0,180,-100,180
H,1.67,4,5,1,0,0,67,-100,67
H,1.7,4,4.5,1,0,0,70,-100,70
H,3.75,3.5,2,1,0,0,275,-100,275
A,5.5,4,1.6,0,0,1,-100,60,-100
H,1.29,5.5,11,1,0,0,29,-100,29
A,3.8,3.75,1.91,0,0,1,-100,91,-100
D,1.2,7,13,0,1,0,-100,-100,-100
D,2.15,3.4,3.5,0,1,0,-100,-100,-100
A,2.3,3.3,3.2,0,0,1,-100,220,-100
H,1.3,6,8,1,0,0,30,-100,30
A,1.53,4.75,5.25,0,0,1,-100,425,-100
A,3.4,3.4,2.15,0,0,1,-100,115,-100
A,13,8,1.17,0,0,1,-100,17,-100
A,2.2,3.75,3,0,0,1,-100,200,-100
A,4.75,3.8,1.73,0,0,1,-100,73,-100
D,2.9,3.25,2.5,0,1,0,-100,-100,-100
D,1.73,3.8,4.75,0,1,0,-100,-100,-100
A,3.6,4,1.85,0,0,1,-100,85,-100
A,1.4,4.5,8.5,0,0,1,-100,750,-100
H,1.17,8,15,1,0,0,17,-100,17
H,2.5,3.8,2.55,1,0,0,150,-100,150
H,1.91,3.3,4.33,1,0,0,91,-100,91
H,1.65,4.5,4.5,1,0,0,65,-100,65
H,1.75,3.8,4.5,1,0,0,75,-100,75
A,6,5,1.45,0,0,1,-100,45,-100
H,1.91,3.6,4,1,0,0,91,-100,91
H,1.67,3.75,5.5,1,0,0,67,-100,67
A,2.15,4,2.88,0,0,1,-100,188,-100
H,1.29,5.5,11,1,0,0,29,-100,29
A,7,4.5,1.45,0,0,1,-100,45,-100
H,1.53,4.2,6,1,0,0,53,-100,53
D,4.33,3.75,1.8,0,1,0,-100,-100,-100
A,6,4.5,1.5,0,0,1,-100,50,-100
D,2.2,3.5,3.25,0,1,0,-100,-100,-100
D,1.91,3.4,4.2,0,1,0,-100,-100,-100
D,3.25,3.4,2.2,0,1,0,-100,-100,-100
H,1.14,8.5,15,1,0,0,14,-100,14
A,1.8,3.8,4.2,0,0,1,-100,320,-100
A,4.2,4.2,1.73,0,0,1,-100,73,-100
D,1.67,4.33,4.33,0,1,0,-100,-100,-100
H,1.36,5.25,7.5,1,0,0,36,-100,36
A,1.91,3.75,3.8,0,0,1,-100,280,-100
H,1.4,5,7,1,0,0,40,-100,40
A,7,4.75,1.44,0,0,1,-100,44,-100
H,2.55,3.75,2.55,1,0,0,155,-100,155
A,5.5,4.5,1.53,0,0,1,-100,53,-100
A,1.57,3.8,6.5,0,0,1,-100,550,-100
A,1.55,4.2,5.75,0,0,1,-100,475,-100
H,1.3,5.75,9,1,0,0,30,-100,30
H,1.45,4.5,7,1,0,0,45,-100,45
H,8,5.75,1.33,1,0,0,700,-100,700
H,2.9,4,2.15,1,0,0,190,-100,190
D,2.75,3.1,2.7,0,1,0,-100,-100,-100
A,3.6,3.5,2.05,0,0,1,-100,105,-100
A,2.9,3,2.63,0,0,1,-100,163,-100
A,6,4.75,1.45,0,0,1,-100,45,-100
A,4.5,3.8,1.73,0,0,1,-100,73,-100
H,1.91,3.6,3.8,1,0,0,91,-100,91
H,1.62,3.8,6,1,0,0,62,-100,62
H,1.67,4.2,4.75,1,0,0,67,-100,67
D,2.2,3.1,3.6,0,1,0,-100,-100,-100
D,3,3.8,2.2,0,1,0,-100,-100,-100
D,3.2,3.75,2.1,0,1,0,-100,-100,-100
D,3.5,3.4,2.1,0,1,0,-100,-100,-100
H,2.9,3.3,2.4,1,0,0,190,-100,190
H,1.33,5.75,7.5,1,0,0,33,-100,33
A,2.38,3.4,3,0,0,1,-100,200,-100
H,1.83,3.75,4.2,1,0,0,83,-100,83
H,1.4,5.25,6.5,1,0,0,40,-100,40
H,1.45,4.5,7,1,0,0,45,-100,45
D,1.67,3.75,5.5,0,1,0,-100,-100,-100
D,3.2,3.4,2.25,0,1,0,-100,-100,-100
A,6.5,5.25,1.4,0,0,1,-100,40,-100
H,1.85,3.6,4,1,0,0,85,-100,85
H,1.5,4.5,6,1,0,0,50,-100,50
A,4.5,3.75,1.75,0,0,1,-100,75,-100
A,1.65,4,5.25,0,0,1,-100,425,-100
H,1.13,8.5,19,1,0,0,13,-100,13
H,2.15,3.5,3.3,1,0,0,115,-100,115
D,4.2,4,1.75,0,1,0,-100,-100,-100
A,2.15,3.5,3.3,0,0,1,-100,230,-100
H,1.25,6.5,9.5,1,0,0,25,-100,25
D,1.55,4.2,5.5,0,1,0,-100,-100,-100
H,1.29,5.75,11,1,0,0,29,-100,29
A,5,3.8,1.67,0,0,1,-100,67,-100
A,3.2,3.6,2.2,0,0,1,-100,120,-100
H,2.05,3.6,3.5,1,0,0,105,-100,105
A,2.75,3.25,2.6,0,0,1,-100,160,-100
D,3.1,3.6,2.2,0,1,0,-100,-100,-100
H,1.1,11,19,1,0,0,10,-100,10
H,3.8,3.5,2,1,0,0,280,-100,280
H,2.8,3.2,2.6,1,0,0,180,-100,180
H,4.2,3.75,1.85,1,0,0,320,-100,320
D,12,6.5,1.22,0,1,0,-100,-100,-100
A,2,3.75,3.5,0,0,1,-100,250,-100
H,3.1,3.75,2.2,1,0,0,210,-100,210
H,1.18,7,17,1,0,0,18,-100,18
A,2.45,3.2,3,0,0,1,-100,200,-100
H,1.33,5.25,9.5,1,0,0,33,-100,33
H,4.75,4,1.73,1,0,0,375,-100,375
H,1.57,4.2,5.5,1,0,0,57,-100,57
D,1.25,5.75,13,0,1,0,-100,-100,-100
H,1.4,5,6.5,1,0,0,40,-100,40
H,1.85,3.6,4,1,0,0,85,-100,85
D,5,3.7,1.73,0,1,0,-100,-100,-100
D,1.73,4.2,4.2,0,1,0,-100,-100,-100
A,3.4,3.5,2.05,0,0,1,-100,105,-100
H,3.6,3.3,2.1,1,0,0,260,-100,260
H,2.55,3.5,2.63,1,0,0,155,-100,155
A,3.2,3.6,2.15,0,0,1,-100,115,-100
A,3.2,3.5,2.2,0,0,1,-100,120,-100
A,4.5,3.75,1.75,0,0,1,-100,75,-100
A,2.3,3.8,2.8,0,0,1,-100,180,-100
A,2.7,3.4,2.55,0,0,1,-100,155,-100
H,2.38,3.3,3,1,0,0,138,-100,138
