Column1,pred,actual,Column2,Column3,B,R,bb,rb,Column4,,
1,1,0,FALSE,0.36,2.15,0.36,0.00,-100.00,0.36,,
2,1,0,FALSE,0.53,1.5,0.53,0.00,-100.00,0.53,,
3,0,0,TRUE,0.56,0.564971751,1.40,56.50,0.00,0.56,,
5,0,0,TRUE,0.38,0.377358491,2.00,37.74,0.00,0.38,,
6,0,1,FALSE,0.72,0.71942446,1.10,-100.00,0.00,0.72,,
7,1,0,FALSE,1.00,0.8,1.00,0.00,-100.00,1.00,,
9,0,0,TRUE,0.65,0.64516129,1.25,64.52,0.00,0.65,,
10,0,1,FALSE,0.53,0.52631579,1.50,-100.00,0.00,0.53,,
11,1,1,TRUE,0.40,1.95,0.40,0.00,40.00,0.40,,
12,1,1,TRUE,0.36,2.28,0.36,0.00,35.97,0.36,,
14,1,1,TRUE,0.49,1.74,0.49,0.00,48.78,0.49,,
15,1,1,TRUE,0.40,2.1,0.40,0.00,39.53,0.40,,
16,0,0,TRUE,0.56,0.564971751,1.45,56.50,0.00,0.56,,
17,1,0,FALSE,0.21,3.65,0.21,0.00,-100.00,0.21,,
18,1,1,TRUE,0.22,3.4,0.22,0.00,22.37,0.22,,
19,1,1,TRUE,1.00,0.869565217,1.00,0.00,100.00,1.00,,
20,0,0,TRUE,0.78,0.775193798,1.12,77.52,0.00,0.78,,
21,1,1,TRUE,0.72,1.2,0.724637681,0.00,72.46,0.72,,
23,1,1,TRUE,0.25,3,0.25,0.00,25.00,0.25,,
24,1,1,TRUE,0.80,1,0.80,0.00,80.00,0.80,,
27,1,0,FALSE,0.42,1.88,0.416666667,0.00,-100.00,0.42,,
28,1,0,FALSE,0.56,1.4,0.56,0.00,-100.00,0.56,,
30,1,1,TRUE,2.50,0.327868853,2.50,0.00,250.00,2.50,,
31,1,0,FALSE,0.75,1.05,0.75,0.00,-100.00,0.75,,
32,1,0,FALSE,0.95,0.854700855,0.952380952,0.00,-100.00,0.95,,
33,0,0,TRUE,0.70,0.699300699,1.15,69.93,0.00,0.70,,
34,0,1,FALSE,0.30,0.298507463,2.50,-100.00,0.00,0.30,,
35,1,1,TRUE,0.75,1.05,0.75,0.00,74.63,0.75,,
36,0,1,FALSE,0.77,0.769230769,1.05,-100.00,0.00,0.77,,
37,1,0,FALSE,0.30,2.5,0.30,0.00,-100.00,0.30,,
38,0,0,TRUE,0.18,0.178571429,3.90,17.86,0.00,0.18,,
39,1,1,TRUE,0.94,0.847457627,0.94,0.00,94.34,0.94,,
40,0,1,FALSE,0.68,0.675675676,1.20,-100.00,0.00,0.68,,
41,0,1,FALSE,0.43,0.434782609,1.85,-100.00,0.00,0.43,,
42,1,1,TRUE,0.75,1.1,0.75,0.00,74.63,0.75,,
43,0,0,TRUE,0.30,0.298507463,2.60,29.85,0.00,0.30,,
44,0,1,FALSE,0.77,0.769230769,1.05,-100.00,0.00,0.77,,
45,1,1,TRUE,0.33,2.4,0.33,0.00,32.79,0.33,,
46,0,1,FALSE,0.63,0.628930818,1.28,-100.00,0.00,0.63,,
47,1,1,TRUE,0.25,3,0.25,0.00,25.00,0.25,,
48,0,1,FALSE,3.00,3,0.25,-100.00,0.00,3.00,,
49,1,1,TRUE,0.70,1.15,0.70,0.00,69.93,0.70,,
50,1,1,TRUE,0.65,1.25,0.65,0.00,64.52,0.65,,
51,1,0,FALSE,0.57,1.35,0.57,0.00,-100.00,0.57,,
53,0,0,TRUE,0.47,0.465116279,1.70,46.51,0.00,0.47,,
54,1,1,TRUE,0.62,1.38,0.62,0.00,61.73,0.62,,
55,1,1,TRUE,0.56,1.45,0.56,0.00,56.50,0.56,,
56,1,0,FALSE,0.33,2.4,0.33,0.00,-100.00,0.33,,
57,1,0,FALSE,0.36,2.15,0.36,0.00,-100.00,0.36,,
58,0,1,FALSE,0.63,0.628930818,1.30,-100.00,0.00,0.63,,
59,1,0,FALSE,0.91,0.909090909,0.91,0.00,-100.00,0.91,,
60,1,1,TRUE,0.53,1.55,0.53,0.00,52.63,0.53,,
61,0,0,TRUE,0.36,0.363636364,2.10,36.36,0.00,0.36,,
62,1,0,FALSE,0.43,1.8,0.43,0.00,-100.00,0.43,,
65,1,1,TRUE,0.71,1.2,0.714285714,0.00,71.43,0.71,,
66,1,1,TRUE,1.05,0.8,1.05,0.00,105.00,1.05,,
67,1,0,FALSE,0.59,1.5,0.59,0.00,-100.00,0.59,,
68,1,1,TRUE,0.91,0.909090909,0.91,0.00,90.91,0.91,,
69,1,1,TRUE,0.48,1.75,0.476190476,0.00,47.62,0.48,,
70,1,0,FALSE,0.71,1.2,0.714285714,0.00,-100.00,0.71,,
71,0,1,FALSE,0.54,0.540540541,1.60,-100.00,0.00,0.54,,
72,1,0,FALSE,0.69,1.25,0.69,0.00,-100.00,0.69,,
73,1,1,TRUE,0.30,2.75,0.30,0.00,29.85,0.30,,
74,1,1,TRUE,0.64,1.37,0.64,0.00,63.69,0.64,,
76,1,0,FALSE,0.54,1.6,0.54,0.00,-100.00,0.54,,
77,1,1,TRUE,0.63,1.4,0.63,0.00,62.50,0.63,,
78,1,1,TRUE,0.74,1.15,0.74,0.00,74.07,0.74,,
79,1,0,FALSE,3.25,0.25,3.25,0.00,-100.00,3.25,,
80,0,1,FALSE,0.66,0.657894737,1.32,-100.00,0.00,0.66,,
81,0,0,TRUE,0.71,0.714285714,1.20,71.43,0.00,0.71,,
