ium: m: 0.000, f: 0.000, n: 1.000 -- 1275
mie: m: 0.000, f: 1.000, n: 0.000 -- 1334
uppe: m: 0.000, f: 1.000, n: 0.000 -- 1031
trag: m: 1.000, f: 0.000, n: 0.000 -- 1268
satz: m: 1.000, f: 0.000, n: 0.000 -- 1336
bung: m: 0.000, f: 1.000, n: 0.000 -- 1380
zung: m: 0.000, f: 1.000, n: 0.000 -- 1549
sung: m: 0.000, f: 1.000, n: 0.000 -- 1647
stem: m: 0.000, f: 0.000, n: 1.000 -- 1856
hung: m: 0.000, f: 1.000, n: 0.000 -- 2444
nung: m: 0.000, f: 1.000, n: 0.000 -- 3072
lität: m: 0.000, f: 1.000, n: 0.000 -- 1041
itung: m: 0.000, f: 1.000, n: 0.000 -- 1063
ltung: m: 0.000, f: 1.000, n: 0.000 -- 1087
hrung: m: 0.000, f: 1.000, n: 0.000 -- 1093
hkeit: m: 0.000, f: 1.000, n: 0.000 -- 1114
tzung: m: 0.000, f: 1.000, n: 0.000 -- 1202
llung: m: 0.000, f: 1.000, n: 0.000 -- 1282
htung: m: 0.000, f: 1.000, n: 0.000 -- 1407
ndung: m: 0.000, f: 1.000, n: 0.000 -- 1445
igung: m: 0.000, f: 1.000, n: 0.000 -- 1553
logie: m: 0.000, f: 1.000, n: 0.000 -- 1730
ystem: m: 0.000, f: 0.000, n: 1.000 -- 1832
chung: m: 0.000, f: 1.000, n: 0.000 -- 1930
ktion: m: 0.000, f: 1.000, n: 0.000 -- 2301
gkeit: m: 0.000, f: 1.000, n: 0.000 -- 3354
erung: m: 0.000, f: 1.000, n: 0.000 -- 6864
gung: m: 0.000, f: 1.000, n: 0.000 -- 3554
tung: m: 0.000, f: 1.000, n: 0.000 -- 6389
gie: m: 0.000, f: 1.000, n: 0.000 -- 2661
tät: m: 0.000, f: 1.000, n: 0.000 -- 2654
ität: m: 0.000, f: 1.000, n: 0.000 -- 2613
lung: m: 0.000, f: 1.000, n: 0.000 -- 5113
ismus: m: 1.000, f: 0.000, n: 0.000 -- 2251
ogie: m: 0.001, f: 0.999, n: 0.000 -- 1734
aum: m: 0.999, f: 0.001, n: 0.000 -- 1727
kung: m: 0.000, f: 0.999, n: 0.001 -- 1498
rer: m: 0.999, f: 0.001, n: 0.000 -- 1473
ecke: m: 0.001, f: 0.999, n: 0.000 -- 1356
rag: m: 0.999, f: 0.000, n: 0.001 -- 1270
mung: m: 0.000, f: 0.999, n: 0.001 -- 1087
nheit: m: 0.001, f: 0.999, n: 0.000 -- 1085
ramm: m: 0.000, f: 0.001, n: 0.999 -- 1053
gramm: m: 0.000, f: 0.001, n: 0.999 -- 1053
smus: m: 0.999, f: 0.000, n: 0.001 -- 2317
tand: m: 0.999, f: 0.000, n: 0.001 -- 1447
stand: m: 0.999, f: 0.000, n: 0.001 -- 1442
fisch: m: 0.998, f: 0.002, n: 0.000 -- 1253
cke: m: 0.002, f: 0.998, n: 0.000 -- 2366
hie: m: 0.002, f: 0.998, n: 0.000 -- 1161
tion: m: 0.000, f: 0.998, n: 0.002 -- 8508
