Count of gender2,Column Labels,,,,,,,,,,,,,,
Row Labels,m,f,n,Grand Total,,Row Labels,m,f,n,,Row Labels,m,f,n,Grand Total
(blank),40073,60029,25948,126050,,(blank),31.79%,47.62%,20.59%,,(blank),40073,60029,25948,126050
[T],25427,19801,5010,50238,,[T],50.61%,39.41%,9.97%,,[T],25427,19801,5010,50238
[med.],4690,14080,3426,22196,,[med.],21.13%,63.43%,15.44%,,[med.],4690,14080,3426,22196
[tech.],5462,8190,3458,17110,,[tech.],31.92%,47.87%,20.21%,,[tech.],5462,8190,3458,17110
[chem.],702,2132,4083,6917,,[chem.],10.15%,30.82%,59.03%,,[chem.],702,2132,4083,6917
[relig.],2406,3021,1313,6740,,[relig.],35.70%,44.82%,19.48%,,[relig.],2406,3021,1313,6740
[gastr.],2370,2263,1871,6504,,[gastr.],36.44%,34.79%,28.77%,,[gastr.],2370,2263,1871,6504
[biol.],1418,3381,1539,6338,,[biol.],22.37%,53.34%,24.28%,,[biol.],1418,3381,1539,6338
[geogr.],1925,1391,2893,6209,,[geogr.],31.00%,22.40%,46.59%,,[geogr.],1925,1391,2893,6209
[zool.],1307,3286,1127,5720,,[zool.],22.85%,57.45%,19.70%,,[zool.],1307,3286,1127,5720
[electr.],2301,2453,873,5627,,[electr.],40.89%,43.59%,15.51%,,[electr.],2301,2453,873,5627
[pol.],1843,2560,823,5226,,[pol.],35.27%,48.99%,15.75%,,[pol.],1843,2560,823,5226
[phys.],1148,2960,1075,5183,,[phys.],22.15%,57.11%,20.74%,,[phys.],1148,2960,1075,5183
[mineral.],4831,143,121,5095,,[mineral.],94.82%,2.81%,2.37%,,[mineral.],4831,143,121,5095
[law],1452,2293,1317,5062,,[law],28.68%,45.30%,26.02%,,[law],1452,2293,1317,5062
[sports],2178,1586,1199,4963,,[sports],43.88%,31.96%,24.16%,,[sports],2178,1586,1199,4963
[mus.],1516,2385,1052,4953,,[mus.],30.61%,48.15%,21.24%,,[mus.],1516,2385,1052,4953
[jobs],2699,1669,210,4578,,[jobs],58.96%,36.46%,4.59%,,[jobs],2699,1669,210,4578
[comp.],1364,2094,1015,4473,,[comp.],30.49%,46.81%,22.69%,,[comp.],1364,2094,1015,4473
[math.],1046,2494,838,4378,,[math.],23.89%,56.97%,19.14%,,[math.],1046,2494,838,4378
[hist.],1468,1504,1067,4039,,[hist.],36.35%,37.24%,26.42%,,[hist.],1468,1504,1067,4039
[MedTech.],832,2392,807,4031,,[MedTech.],20.64%,59.34%,20.02%,,[MedTech.],832,2392,807,4031
[biochem.],476,1515,1716,3707,,[biochem.],12.84%,40.87%,46.29%,,[biochem.],476,1515,1716,3707
[mil.],1431,1467,672,3570,,[mil.],40.08%,41.09%,18.82%,,[mil.],1431,1467,672,3570
[psych.],585,2248,539,3372,,[psych.],17.35%,66.67%,15.98%,,[psych.],585,2248,539,3372
[geol.],1159,1476,698,3333,,[geol.],34.77%,44.28%,20.94%,,[geol.],1159,1476,698,3333
[fin.],1028,1481,648,3157,,[fin.],32.56%,46.91%,20.53%,,[fin.],1028,1481,648,3157
[ling.],609,1257,1174,3040,,[ling.],20.03%,41.35%,38.62%,,[ling.],609,1257,1174,3040
[econ.],938,1477,608,3023,,[econ.],31.03%,48.86%,20.11%,,[econ.],938,1477,608,3023
[anat.],1040,1186,785,3011,,[anat.],34.54%,39.39%,26.07%,,[anat.],1040,1186,785,3011
[pharm.],377,665,1782,2824,,[pharm.],13.35%,23.55%,63.10%,,[pharm.],377,665,1782,2824
[cloth.],1259,975,589,2823,,[cloth.],44.60%,34.54%,20.86%,,[cloth.],1259,975,589,2823
[bot.],587,1437,594,2618,,[bot.],22.42%,54.89%,22.69%,,[bot.],587,1437,594,2618
[tools],1111,905,482,2498,,[tools],44.48%,36.23%,19.30%,,[tools],1111,905,482,2498
[constr.],881,1123,468,2472,,[constr.],35.64%,45.43%,18.93%,,[constr.],881,1123,468,2472
[naut.],846,908,680,2434,,[naut.],34.76%,37.30%,27.94%,,[naut.],846,908,680,2434
[comm.],1009,956,435,2400,,[comm.],42.04%,39.83%,18.13%,,[comm.],1009,956,435,2400
[spec.],520,1348,460,2328,,[spec.],22.34%,57.90%,19.76%,,[spec.],520,1348,460,2328
[dent.],693,1262,312,2267,,[dent.],30.57%,55.67%,13.76%,,[dent.],693,1262,312,2267
[educ.],678,1099,473,2250,,[educ.],30.13%,48.84%,21.02%,,[educ.],678,1099,473,2250
[ecol.],438,1160,332,1930,,[ecol.],22.69%,60.10%,17.20%,,[ecol.],438,1160,332,1930
[sociol.],425,1166,269,1860,,[sociol.],22.85%,62.69%,14.46%,,[sociol.],425,1166,269,1860
[meteo.],525,784,370,1679,,[meteo.],31.27%,46.69%,22.04%,,[meteo.],525,784,370,1679
[automot.],650,635,386,1671,,[automot.],38.90%,38.00%,23.10%,,[automot.],650,635,386,1671
[archi.],524,653,455,1632,,[archi.],32.11%,40.01%,27.88%,,[archi.],524,653,455,1632
[art],372,793,400,1565,,[art],23.77%,50.67%,25.56%,,[art],372,793,400,1565
[aviat.],584,560,339,1483,,[aviat.],39.38%,37.76%,22.86%,,[aviat.],584,560,339,1483
[ind.],381,815,242,1438,,[ind.],26.50%,56.68%,16.83%,,[ind.],381,815,242,1438
[philos.],460,732,237,1429,,[philos.],32.19%,51.22%,16.59%,,[philos.],460,732,237,1429
[agr.],485,649,294,1428,,[agr.],33.96%,45.45%,20.59%,,[agr.],485,649,294,1428
[lit.],538,654,192,1384,,[lit.],38.87%,47.25%,13.87%,,[lit.],538,654,192,1384
[transp.],616,506,209,1331,,[transp.],46.28%,38.02%,15.70%,,[transp.],616,506,209,1331
[weapons],369,608,346,1323,,[weapons],27.89%,45.96%,26.15%,,[weapons],369,608,346,1323
