English,German Singular,German Plural,Differences
1. Time,Die Zeit,Die Zeiten,en
2. Man,Der Mann,Die Männer,":, er"
3. Hand,Die Hand,Die Hände,":, e"
4. Day,Der Tag,Die Tage,e
5. Way,Der Weg,Die Wege,e
6. Eye,Das Auge,Die Augen,n
7. Thing,Die Sache,Die Sachen,n
8. Head,Der Kopf,Die Köpfe,":, e"
9. Year,Das Jahr,Die Jahre,e
10. Room,Das Zimmer,Die Zimmer,
11. Door,Die Tür,Die Türen,en
12. Woman,Die Frau,Die Frauen,en
13. Face,Das Gesicht,Die Gesichter,er
14. Mother,Die Mutter,Die Mütter,":, "
15. People,Die Leute,-,"-, "
16. Night,Die Nacht,Die Nächte,":, e"
17. House,Das Haus,Die Häuser,":, er"
18. Father,Der Vater,Die Väter,":, "
19. Life,Das Leben,Die Leben,
20. Back,Der Rücken,Die Rücken,
21. Voice,Die Stimme,Die Stimmen,n
22. Girl,Das Mädchen,Die Mädchen,
23. Place,Der Ort,Die Orte,e
24. Boy,Der Junge,Die Jungen,n
25. Car,Das Auto,Die Autos,s
26. Side,Die Seite,Die Seiten,n
27. Arm,Der Arm,Die Arme,e
28. Child,Das Kind,Die Kinder,er
29. Word,Das Wort,Die Wörter,":, er"
30. Moment,Der Moment,Die Momente,e
31. Hair,Das Haar,Die Haare,e
32. Foot,Der Fuß,Die Füße,":, e"
33. Water,Das Wasser,-,"-, "
34. Light,Das Licht,Die Lichter,er
35. World,Die Welt,Die Welten,en
36. Name,Der Name,Die Namen,n
37. Friend,Der Freund,Die Freunde,e
38. Window,Das Fenster,Die Fenster,
39. Body,Der Körper,Die Körper,
40. Table,Der Tisch,Die Tische,e
41. Morning,Der Morgen,Die Morgen,
42. Bed,Das Bett,Die Betten,en
43. Wall,Die Wand,Die Wände,":, e"
44. Street,Die Straße,Die Straßen,n
45. School,Die Schule,Die Schulen,n
46. Air,Die Luft,-,"-, "
47. Floor,Der Boden,Die Böden,":, "
48. Hour,Die Stunde,Die Stunden,n
49. End,Das Ende,Die Enden,n
50. Family,Die Familie,Die Familien,n
51. Guy,Der Kerl,Die Kerle,e
52. Kind,Das Kind,Die Kinder,er
53. Minute,Die Minute,Die Minuten,n
54. Story,Die Geschichte,Die Geschichten,n
55. God,Der Gott,Die Götter,":, er"
56. Week,Die Woche,Die Wochen,n
57. Work,Die Arbeit,-,"-, "
58. Shoulder,Die Schulter,Die Schultern,n
59. Part,Der Teil,Die Teile,e
60. Mind,Der Verstand,-,"-, "
61. Book,Das Buch,Die Bücher,":, er"
62. Finger,Der Finger,Die Finger,
63. Mouth,Der Mund,Die Münder,":, er"
64. Kid,Das Kind,Die Kinder,er
65. Glass,Das Glas,Die Gläser,":, er"
66. Tree,Der Baum,Die Bäume,":, e"
67. Sound,Der Klang,Die Klänge,":, e"
68. Line,Die Linie,Die Linien,n
69. Wife,Die Ehefrau,Die Ehefrauen,en
70. Heart,Das Herz,Die Herzen,en
71. Money,Das Geld,-,"-, "
72. Phone,Das Telefon,Die Telefone,e
73. Look,Der Blick,Die Blicke,e
74. Leg,Das Bein,Die Beine,e
75. Chair,Der Stuhl,Die Stühle,":, e"
76. Office,Das Büro,Die Büros,s
77. Brother,Der Bruder,Die Brüder,":, "
78. Question,Die Frage,Die Fragen,n
79. City,Die Stadt,Die Städte,":, e"
80. Month,Der Monat,Die Monate,e
81. Baby,Das Baby,Die Babys,s
82. Home,Das Zuhause,Die Zuhause,
83. Dog,Der Hund,Die Hunde,e
84. Road,Die Straße,Die Straßen,n
85. Idea,Die Idee,Die Ideen,n
86. Kitchen,Die Küche,Die Küchen,n
87. Lot,Das Grundstück,Die Grundstücke,e
88. Son,Der Sohn,Die Söhne,":, e"
89. Job,Der Job,Die Jobs,s
90. Paper,Das Papier,Die Papiere,e
91. Sister,Die Schwester,Die Schwestern,n
92. Smile,Das Lächeln,Die Lächeln,
93. Point,Der Punkt,Die Punkte,e
94. Thought,Der Gedanke,Die Gedanken,n
95. Love,Die Liebe,-,"-, "
96. Town,Die Stadt,Die Städte,":, e"
97. Death,Der Tod,Die Tode,e
98. Ground,Der Boden,Die Böden,":, "
99. Others,Die Anderen,-,"-, "
100. Fire,Das Feuer,Die Feuer,
101. Step,Der Schritt,Die Schritte,e
102. Blood,Das Blut,-,"-, "
103. Fact,Die Tatsache,Die Tatsachen,n
104. Breath,Der Atem,Die Atemzüge,züge
105. Lip,Die Lippe,Die Lippen,n
106. Sun,Die Sonne,Die Sonnen,n
107. Building,Das Gebäude,Die Gebäude,
